National Pokédex	English name	Japanese name	Johto Pokédex	Hoenn Pokédex	Sinnoh Pokédex	Unova Pokédex	Evolution
1	Bulbasaur	Fushigidane	231	–	–	–	001aEgg
2	Ivysaur	Fushigisou	232	–	–	–	001bBulbasaur
3	Venusaur	Fushigibana	233	–	–	–	001cIvysaur
4	Charmander	Hitokage	234	–	–	–	004aEgg
5	Charmeleon	Lizardo	235	–	–	–	004bCharmander
6	Charizard	Lizardon	236	–	–	–	004cCharmeleon
7	Squirtle	Zenigame	237	–	–	–	007aEgg
8	Wartortle	Kameil	238	–	–	–	007bSquirtle
9	Blastoise	Kamex	239	–	–	–	007cWartortle
10	Caterpie	Caterpie	24	–	–	–	010aEgg
11	Metapod	Transel	25	–	–	–	010bCaterpie
12	Butterfree	Butterfree	26	–	–	–	010cMetapod
13	Weedle	Beedle	27	–	–	–	013aEgg
14	Kakuna	Cocoon	28	–	–	–	013bWeedle
15	Beedrill	Spear	29	–	–	–	013cKakuna
16	Pidgey	Poppo	10	–	–	–	016aEgg
17	Pidgeotto	Pigeon	11	–	–	–	016bPidgey
18	Pidgeot	Pigeot	12	–	–	–	016cPidgeotto
19	Rattata	Koratta	17	–	–	–	019aEgg
20	Raticate	Ratta	18	–	–	–	019bRattata
21	Spearow	Onisuzume	13	–	–	–	021aEgg
22	Fearow	Onidrill	14	–	–	–	021bSpearow
23	Ekans	Arbo	50	–	–	–	023aEgg
24	Arbok	Arbok	51	–	–	–	023bEkans
25	Pikachu	Pikachu	22	156	104	–	025bPichu
26	Raichu	Raichu	23	157	105	–	025cPikachu
27	Sandshrew	Sand	48	112	–	–	027aEgg
28	Sandslash	Sandpan	49	113	–	–	027bSandshrew
29	Nidoran?	Nidoran?	95	–	–	–	029aEgg
30	Nidorina	Nidorina	96	–	–	–	029bNidoran?
31	Nidoqueen	Nidoqueen[1]	97	–	–	–	029cNidorina
32	Nidoran?	Nidoran?	98	–	–	–	032aEgg
33	Nidorino	Nidorino	99	–	–	–	032bNidoran?
34	Nidoking	Nidoking	100	–	–	–	032cNidorino
35	Clefairy	Pippi	41	–	100	–	035bCleffa
36	Clefable	Pixy	42	–	101	–	035cClefairy
37	Vulpix	Rokon	127	153	–	–	037aEgg
38	Ninetales	Kyukon	128	154	–	–	037bVulpix
